"study","auc","error_rate","accuracy","kappa","mtry","group","seed"
"validation",0.717171717171717,0.330785628645654,0.6,0.139784946236559,47,"species",1014
"validation",0.737373737373737,0.370621941022279,0.65,0.25531914893617,40,"species",1015
"validation",0.606060606060606,0.308206739426308,0.5,-0.0989010989010987,36,"species",1016
"validation",0.828282828282828,0.380013167259982,0.7,0.368421052631579,17,"species",1017
"validation",0.823232323232323,0.350349452033789,0.6,0.120879120879121,30,"species",1018
"validation",0.808080808080808,0.332327342082137,0.8,0.595959595959596,27,"species",1019
"validation",0.676767676767677,0.325306931142378,0.6,0.175257731958763,56,"species",1020
"validation",0.616161616161616,0.350561929094689,0.55,0.0425531914893617,280,"species",1021
"validation",0.656565656565657,0.340297421047974,0.75,0.479166666666667,147,"species",1022
"validation",0.707070707070707,0.334984052949108,0.65,0.3,67,"species",1023
"validation",0.651515151515152,0.330532001496364,0.6,0.139784946236559,467,"species",1024
"validation",0.767676767676768,0.353067262174841,0.65,0.25531914893617,326,"species",1025
"validation",0.727272727272727,0.353821087933,0.65,0.285714285714286,61,"species",1026
"validation",0.762626262626263,0.33368110656863,0.75,0.479166666666667,87,"species",1027
"validation",0.681818181818182,0.343884911056821,0.55,0.0217391304347826,52,"species",1028
"validation",0.762626262626263,0.330815004356685,0.7,0.354838709677419,31,"species",1029
"validation",0.636363636363636,0.35887159584403,0.6,0.120879120879121,15,"species",1030
"validation",0.681818181818182,0.320688718994733,0.6,0.139784946236559,25,"species",1031
"validation",0.838383838383838,0.377583169694945,0.7,0.368421052631579,35,"species",1032
"validation",0.707070707070707,0.345638119071159,0.7,0.368421052631579,26,"species",1033
"validation",0.742424242424242,0.346959988723805,0.7,0.354838709677419,419,"species",1034
"validation",0.782828282828283,0.378330630443569,0.7,0.354838709677419,16,"species",1035
"validation",0.702020202020202,0.339305950591641,0.6,0.157894736842105,275,"species",1036
"validation",0.52020202020202,0.343006852524767,0.6,0.139784946236559,30,"species",1037
"validation",0.737373737373737,0.338070788677891,0.65,0.25531914893617,23,"species",1038
"validation",0.535353535353535,0.360992557526686,0.65,0.239130434782609,30,"species",1039
"validation",0.626262626262626,0.343623585047546,0.6,0.157894736842105,425,"species",1040
"validation",0.737373737373737,0.351999077103198,0.65,0.3,22,"species",1041
"validation",0.535353535353535,0.318097531831698,0.6,0.139784946236559,55,"species",1042
"validation",0.686868686868687,0.360740611778084,0.55,0.0625000000000001,18,"species",1043
"validation",0.696969696969697,0.389330711940289,0.6,0.120879120879121,12,"species",1044
