"number","n_gene","cat"
"GO:0030001",3019,"GOs"
"GO:0046873",3016,"GOs"
"GO:0005451",2900,"GOs"
"GO:0006814",2900,"GOs"
"GO:0006885",2900,"GOs"
"GO:0015081",2900,"GOs"
"GO:0015385",2900,"GOs"
"GO:0015491",2900,"GOs"
"GO:0030004",2900,"GOs"
"GO:0030641",2900,"GOs"
"GO:0035725",2900,"GOs"
"GO:0055067",2900,"GOs"
"GO:0006813",2899,"GOs"
"GO:0015079",2899,"GOs"
"GO:0015386",2899,"GOs"
"GO:0022821",2899,"GOs"
"GO:0071804",2899,"GOs"
"GO:0071805",2899,"GOs"
"GO:0016829",2869,"GOs"
"GO:0001217",2844,"GOs"
"GO:0044283",2783,"GOs"
"GO:0008643",2734,"GOs"
"GO:0016053",2706,"GOs"
"GO:0046394",2706,"GOs"
"GO:0009056",2671,"GOs"
"GO:0032787",2669,"GOs"
"GO:1901575",2667,"GOs"
"GO:0044248",2665,"GOs"
"GO:0072330",2654,"GOs"
"GO:0034219",2600,"GOs"
"GO:0044282",2590,"GOs"
"GO:0016835",2543,"GOs"
"GO:0042180",2538,"GOs"
"GO:0016836",2536,"GOs"
"GO:0006081",2532,"GOs"
"GO:0009438",2530,"GOs"
"GO:1901615",2530,"GOs"
"GO:1901617",2526,"GOs"
"GO:0006089",2524,"GOs"
"GO:0019243",2524,"GOs"
"GO:0042182",2524,"GOs"
"GO:0046185",2524,"GOs"
"GO:0051596",2524,"GOs"
"GO:0061727",2524,"GOs"
"GO:0019172",2522,"GOs"
"GO:0019249",2522,"GOs"
"GO:0009314",2404,"GOs"
"GO:0042710",2398,"GOs"
"GO:0090605",2392,"GOs"
"GO:0007155",2389,"GOs"
"GO:0022610",2389,"GOs"
"GO:0031589",2388,"GOs"
"GO:0043708",2388,"GOs"
"GO:0019637",2375,"GOs"
"GO:0090407",2332,"GOs"
"GO:0043900",2292,"GOs"
"GO:1900190",2292,"GOs"
"GO:1900231",2292,"GOs"
"GO:0003681",2291,"GOs"
"GO:0043901",2291,"GOs"
"GO:1900191",2291,"GOs"
"GO:1900232",2291,"GOs"
"GO:0010033",2273,"GOs"
"GO:1901566",2195,"GOs"
"GO:0044085",2172,"GOs"
"GO:0010035",2147,"GOs"
"GO:0055114",2122,"GOs"
"GO:0006644",2120,"GOs"
"GO:0008654",2120,"GOs"
"GO:0016780",2103,"GOs"
"GO:0010038",2101,"GOs"
"GO:0016491",2088,"GOs"
"GO:0006643",2081,"GOs"
"GO:0006664",2081,"GOs"
"GO:0009245",2081,"GOs"
"GO:0009247",2081,"GOs"
"GO:0043838",2081,"GOs"
"GO:0046467",2081,"GOs"
"GO:0046493",2081,"GOs"
"GO:1901269",2081,"GOs"
"GO:1901271",2081,"GOs"
"GO:0022607",2065,"GOs"
"GO:0009268",1992,"GOs"
"GO:0001098",1991,"GOs"
"GO:0001108",1991,"GOs"
"GO:0009927",1990,"GOs"
"GO:0010447",1990,"GOs"
"GO:0060089",1990,"GOs"
"GO:0010039",1981,"GOs"
"GO:0010041",1971,"GOs"
"GO:0015144",1847,"GOs"
"GO:0016614",1842,"GOs"
"GO:0016616",1841,"GOs"
"GO:0044419",1834,"GOs"
"GO:0016032",1833,"GOs"
"GO:0019058",1833,"GOs"
"GO:0044403",1833,"GOs"
"GO:0043603",1828,"GOs"
"GO:0043604",1827,"GOs"
"GO:0009607",1826,"GOs"
"GO:0000746",1825,"GOs"
"GO:0009597",1825,"GOs"
"GO:0009615",1825,"GOs"
"GO:0030260",1825,"GOs"
"GO:0043207",1825,"GOs"
"GO:0044409",1825,"GOs"
"GO:0046718",1825,"GOs"
"GO:0046930",1825,"GOs"
"GO:0051701",1825,"GOs"
"GO:0051707",1825,"GOs"
"GO:0051806",1825,"GOs"
"GO:0051828",1825,"GOs"
"GO:1901618",1824,"GOs"
"GO:0015791",1820,"GOs"
"GO:0015166",1819,"GOs"
"GO:0015168",1819,"GOs"
"GO:0015527",1819,"GOs"
"GO:0015793",1819,"GOs"
"GO:0015794",1819,"GOs"
"GO:0048037",1819,"GOs"
"GO:0005618",1812,"GOs"
"GO:0016776",1789,"GOs"
"GO:0008104",1782,"GOs"
"GO:0051181",1781,"GOs"
"GO:0045184",1765,"GOs"
"GO:0015031",1754,"GOs"
"GO:0032940",1739,"GOs"
"GO:0046903",1739,"GOs"
"GO:0015562",1738,"GOs"
"GO:0002790",1737,"GOs"
"GO:0009306",1737,"GOs"
"GO:0015688",1731,"GOs"
"GO:0015891",1731,"GOs"
"GO:0042930",1731,"GOs"
"GO:1901678",1731,"GOs"
"GO:0005216",1728,"GOs"
"GO:0014070",1728,"GOs"
"GO:0022838",1728,"GOs"
"GO:0047485",1728,"GOs"
"GO:1990195",1728,"GOs"
"GO:1990196",1728,"GOs"
"GO:0009242",1705,"GOs"
"GO:0046377",1705,"GOs"
"GO:0045229",1698,"GOs"
"GO:0043163",1697,"GOs"
"GO:0043165",1697,"GOs"
"GO:0044091",1697,"GOs"
"GO:0071709",1697,"GOs"
"GO:0006518",1694,"GOs"
"GO:0006979",1694,"GOs"
"GO:0043043",1693,"GOs"
"GO:0006412",1692,"GOs"
"GO:0003979",1685,"GOs"
"GO:0006970",1685,"GOs"
"GO:0051536",1685,"GOs"
"GO:0051540",1685,"GOs"
"GO:0006805",1683,"GOs"
"GO:0009410",1683,"GOs"
"GO:0071466",1683,"GOs"
"GO:0042884",1673,"GOs"
"GO:0005576",1652,"GOs"
"GO:0051537",1639,"GOs"
"GO:0008219",1625,"GOs"
"GO:0012501",1625,"GOs"
"GO:0140098",1311,"GOs"
"GO:0034660",1279,"GOs"
"GO:0006259",1208,"GOs"
"GO:0006399",1183,"GOs"
"GO:0006520",1180,"GOs"
"GO:0006996",1160,"GOs"
"GO:0140101",1157,"GOs"
"GO:0016874",1156,"GOs"
"GO:0006418",1153,"GOs"
"GO:0043038",1153,"GOs"
"GO:0043039",1153,"GOs"
"GO:0004812",1152,"GOs"
"GO:0016875",1152,"GOs"
"GO:0004822",1148,"GOs"
"GO:0006428",1148,"GOs"
"GO:0051276",1147,"GOs"
"GO:0071103",1147,"GOs"
"GO:0006265",1137,"GOs"
"GO:0043226",1135,"GOs"
"GO:0040007",1131,"GOs"
"GO:0043229",1129,"GOs"
"GO:0043228",1124,"GOs"
"GO:0043232",1118,"GOs"
"GO:1990904",1115,"GOs"
"GO:0005198",1113,"GOs"
"GO:0005840",1113,"GOs"
"GO:0003735",1111,"GOs"
"GO:0016853",1005,"GOs"
"GO:0140097",994,"GOs"
"GO:0008094",988,"GOs"
"GO:0003916",980,"GOs"
"GO:0003918",980,"GOs"
"GO:0061505",980,"GOs"
"GO:0034335",966,"GOs"
"GO:0007059",940,"GOs"
"GO:0009330",925,"GOs"
"GO:0009295",773,"GOs"
"GO:0044422",658,"GOs"
"GO:0044446",652,"GOs"
"GO:0044445",649,"GOs"
"GO:0044391",643,"GOs"
"GO:0022626",641,"GOs"
"GO:0015934",640,"GOs"
"GO:0022625",640,"GOs"
"GO:1901700",599,"GOs"
"GO:0097237",551,"GOs"
"GO:0042803",550,"GOs"
"GO:0035690",549,"GOs"
"GO:1901701",548,"GOs"
"GO:0000985",545,"GOs"
"GO:0001046",545,"GOs"
"GO:0001047",545,"GOs"
"GO:0009635",545,"GOs"
