"study","auc","error_rate","accuracy","kappa","mtry","group","seed"
"validation",0.782828282828283,0.164022213750223,0.55,0,10,"subtype",1023
"validation",0.828282828282828,0.124492055726478,0.6,0.157894736842105,85,"subtype",1024
"validation",0.747474747474748,0.130545214047866,0.55,0.0217391304347826,344,"subtype",1025
"validation",0.808080808080808,0.155071050458787,0.55,0,17,"subtype",1026
"validation",0.747474747474748,0.137409765332799,0.5,-0.0989010989010987,18,"subtype",1027
"validation",0.767676767676768,0.149954753249273,0.6,0.120879120879121,28,"subtype",1028
"validation",0.797979797979798,0.125012106918724,0.6,0.139784946236559,22,"subtype",1029
"validation",0.797979797979798,0.131747290105389,0.55,0,22,"subtype",1030
"validation",0.808080808080808,0.129378089681326,0.6,0.120879120879121,13,"subtype",1031
"validation",0.813131313131313,0.135460829341494,0.55,0,26,"subtype",1032
"validation",0.626262626262626,0.141101900458423,0.6,0.120879120879121,27,"subtype",1033
"validation",0.843434343434343,0.157614528842725,0.55,0,10,"subtype",1034
"validation",0.727272727272727,0.166400814184964,0.6,0.139784946236559,9,"subtype",1035
"validation",0.696969696969697,0.281866485517026,0.55,0,4,"subtype",1036
"validation",0.868686868686869,0.106746988941385,0.55,0,81,"subtype",1037
"validation",0.787878787878788,0.164755850962148,0.6,0.120879120879121,11,"subtype",1038
"validation",0.878787878787879,0.119538070543566,0.7,0.354838709677419,96,"subtype",1039
"validation",0.691919191919192,0.137605031510679,0.55,0,11,"subtype",1040
"validation",0.818181818181818,0.132755760723026,0.6,0.120879120879121,34,"subtype",1041
"validation",0.732323232323232,0.170108898927426,0.55,0,44,"subtype",1042
"validation",0.848484848484848,0.147551559982482,0.55,0.0217391304347826,42,"subtype",1043
"validation",0.727272727272727,0.208993839505942,0.55,0,7,"subtype",1044
"validation",0.828282828282828,0.142354475576234,0.6,0.120879120879121,25,"subtype",1045
"validation",0.863636363636364,0.12869338147191,0.6,0.120879120879121,23,"subtype",1046
"validation",0.868686868686869,0.163081392473587,0.55,0.0217391304347826,31,"subtype",1047
"validation",0.828282828282828,0.0999219671750235,0.65,0.25531914893617,77,"subtype",1048
"validation",0.803030303030303,0.174805154937537,0.55,0,13,"subtype",1049
"validation",0.828282828282828,0.158064086780331,0.55,0,12,"subtype",1050
"validation",0.782828282828283,0.181026582006288,0.6,0.120879120879121,9,"subtype_species",951
"validation",0.797979797979798,0.118398191015673,0.5,-0.0752688172043011,28,"subtype_species",952
"validation",0.777777777777778,0.109393067637352,0.6,0.120879120879121,40,"subtype_species",953
"validation",0.707070707070707,0.138682887961097,0.6,0.120879120879121,17,"subtype_species",954
"validation",0.797979797979798,0.124966810873202,0.55,0.0217391304347826,34,"subtype_species",955
"validation",0.742424242424243,0.12428732418877,0.6,0.120879120879121,14,"subtype_species",956
"validation",0.727272727272727,0.124947606467945,0.6,0.120879120879121,40,"subtype_species",957
"validation",0.858585858585859,0.152930666485217,0.55,0,16,"subtype_species",958
"validation",0.732323232323232,0.185851195121894,0.6,0.120879120879121,7,"subtype_species",959
"validation",0.757575757575758,0.104984235209986,0.6,0.120879120879121,45,"subtype_species",960
"validation",0.727272727272727,0.209195095310458,0.55,0,7,"subtype_species",961
"validation",0.777777777777778,0.139070117376141,0.6,0.139784946236559,542,"subtype_species",962
"validation",0.757575757575758,0.160448598203154,0.6,0.139784946236559,16,"subtype_species",963
"validation",0.813131313131313,0.149489164710035,0.6,0.139784946236559,33,"subtype_species",964
"validation",0.818181818181818,0.114020213064767,0.6,0.120879120879121,31,"subtype_species",965
"validation",0.747474747474748,0.137539346537494,0.6,0.120879120879121,26,"subtype_species",966
